id,name,A,B,C,D,vector
B146,J100-33-Mja-KlbA-mut_A,A1,A6,A99,A8,1A
B147,J100-33-Mja-KlbA-N_A,A1,A6,A98,A74,1A
B148,J100-33-Mja-KlbA-C_Bs,A1,A6,A97,A8,1Bs
B149,PBAD-33-Mja-KlbA-mut_A,A13,A6,A99,A8,1A
B150,PBAD-33-Mja-KlbA-N_A,A13,A6,A98,A74,1A
B151,PSalTTC-33-Mja-KlbA-C_Bs,A14,A6,A97,A8,1Bs
B152,PSalTTC-33-Mja-KlbA-mut_A,A14,A6,A99,A74,1A
B153,PSalTTC-33-Mja-KlbA-N_A,A14,A6,A98,A8,1Bs
B154,PBAD-33-Mja-KlbA-C_Bs,A13,A6,A97,A8,1A
B155,PSalTTC-34-gp41-8-mut_A,A14,A5,A105,A8,1A
B156,PSalTTC-34-gp41-8-N_A,A14,A5,A104,A74,1A
B157,PBAD-34-gp41-8-C_Bs,A13,A5,A103,A8,1Bs