id,name,part1,part2,part3,part4,vector
1,PBAD-34-E11-N_A,PBAD_P,B0034_R,E11-N_NOC,B0015_T,1A
2,PCin-34-E11-C_B,PCin_P,B0034_R,E11-C_NOC,B0015_T,1B
3,PSalTTC-34-E20-N_C,PSalTTC_P,B0034_R,E20-N_NOC,B0015_T,1C
4,PLuxB-34-E20-C_D,PLuxB_P,B0034_R,E20-C_NOC,B0015_T,1D
5,PBAD-34-E38-N_A,PBAD_P,B0034_R,E38-N_NOC,B0015_T,1A
6,PCin-34-E38-C_B,PCin_P,B0034_R,E38-C_NOC,B0015_T,1B
7,PSalTTC-34-E42-N_C,PSalTTC_P,B0034_R,E42-N_NOC,B0015_T,1C
8,PLuxB-34-E42-C_D,PLuxB_P,B0034_R,E42-C_NOC,B0015_T,1D
9,PBAD-PCin-PSalTTC-PCin-E11-E20_A,PBAD-34-E11-N_A,PCin-34-E11-C_B,PSalTTC-34-E20-N_C,PLuxB-34-E20-C_D,2A
10,PBAD-PCin-PSalTTC-PCin-E38-E42_B,PBAD-34-E38-N_A,PCin-34-E38-C_B,PSalTTC-34-E42-N_C,PLuxB-34-E42-C_D,2B
11,PBAD-PCin-PSalTTC-PCin-E11-E20_C,PBAD-34-E11-N_A,PCin-34-E11-C_B,PSalTTC-34-E20-N_C,PLuxB-34-E20-C_D,2C
12,PBAD-PCin-PSalTTC-PCin-E38-E42_D,PBAD-34-E38-N_A,PCin-34-E38-C_B,PSalTTC-34-E42-N_C,PLuxB-34-E42-C_D,2D
13,4i-AND_A,PBAD-PCin-PSalTTC-PCin-E11-E20_A,PBAD-PCin-PSalTTC-PCin-E38-E42_B,PBAD-PCin-PSalTTC-PCin-E11-E20_C,PBAD-PCin-PSalTTC-PCin-E38-E42_D,1A